verified,followers,gender,age,society,sports,politics,religion,entertainment,other,result
False,1139,male,35+,46.3,6.7,10.3,30.0,5.2,1.5,0
False,1139,male,35+,46.3,6.7,10.3,30.0,5.2,1.5,0
False,1139,male,35+,46.3,6.7,10.3,30.0,5.2,1.5,0
False,16355,male,35+,49.5,4.3,7.8,31.0,6.5,0.9,0
False,16355,male,35+,49.5,4.3,7.8,31.0,6.5,0.9,0
False,16355,male,35+,49.5,4.3,7.8,31.0,6.5,0.9,0
False,91,male,35+,73.1,1.7,13.3,6.7,4.4,0.8,1
False,91,male,35+,73.1,1.7,13.3,6.7,4.4,0.8,0
False,91,male,35+,73.1,1.7,13.3,6.7,4.4,0.8,0
False,202,male,25-,44.7,14.1,8.8,27.8,4.3,0.2,1
False,759,male,25-,58.0,9.1,7.9,18.9,5.7,0.5,1
False,117,male,35+,86.0,1.4,8.2,3.5,0.5,0.4,1
False,117,male,35+,86.0,1.4,8.2,3.5,0.5,0.4,0
False,69,male,35+,34.5,3.9,37.4,19.4,3.6,1.2,1
False,69,male,35+,34.5,3.9,37.4,19.4,3.6,1.2,0
True,237952,male,25-35,52.4,7.1,3.0,3.6,33.6,0.2,1
True,237952,male,25-35,52.4,7.1,3.0,3.6,33.6,0.2,0
True,415323,male,35+,50.9,4.3,25.9,6.2,10.7,1.9,1
True,415323,male,35+,50.9,4.3,25.9,6.2,10.7,1.9,0
False,28850,male,35+,38.3,19.8,19.4,10.0,10.8,1.7,1
False,28850,male,35+,38.3,19.8,19.4,10.0,10.8,1.7,0
False,1366,male,35+,42.3,10.9,11.5,30.6,4.0,0.6,1
False,1366,male,35+,42.3,10.9,11.5,30.6,4.0,0.6,0
False,1366,male,35+,42.3,10.9,11.5,30.6,4.0,0.6,0
False,1366,male,35+,42.3,10.9,11.5,30.6,4.0,0.6,0
False,23,male,35+,46.2,6.3,7.3,26.2,13.7,0.2,1
False,23,male,35+,46.2,6.3,7.3,26.2,13.7,0.2,0
False,23,male,35+,46.2,6.3,7.3,26.2,13.7,0.2,0
False,81825,female,35+,64.3,2.6,9.3,18.4,4.9,0.5,0
False,81825,female,35+,64.3,2.6,9.3,18.4,4.9,0.5,0
False,81825,female,35+,64.3,2.6,9.3,18.4,4.9,0.5,0
False,1928,male,35+,48.7,8.8,16.9,18.2,5.8,1.5,1
False,1928,male,35+,48.7,8.8,16.9,18.2,5.8,1.5,0
False,1928,male,35+,48.7,8.8,16.9,18.2,5.8,1.5,0
False,446,male,35+,42.3,2.5,6.7,44.0,4.0,0.6,1
False,244,male,35+,100.0,0.0,0.0,0.0,0.0,0.0,1
False,244,male,35+,100.0,0.0,0.0,0.0,0.0,0.0,0
True,856062,male,35+,44.6,1.5,43.6,6.2,2.6,1.5,0
True,856062,male,35+,44.6,1.5,43.6,6.2,2.6,1.5,0
True,856062,male,35+,44.6,1.5,43.6,6.2,2.6,1.5,0
True,856062,male,35+,44.6,1.5,43.6,6.2,2.6,1.5,0
False,15317,male,35+,51.8,4.4,6.8,5.0,31.5,0.5,1
False,15317,male,35+,51.8,4.4,6.8,5.0,31.5,0.5,0
False,15317,male,35+,51.8,4.4,6.8,5.0,31.5,0.5,0
False,15317,male,35+,51.8,4.4,6.8,5.0,31.5,0.5,0
True,75445,male,35+,47.1,11.5,22.1,10.8,4.7,4.0,0
True,75445,male,35+,47.1,11.5,22.1,10.8,4.7,4.0,0
True,75445,male,35+,47.1,11.5,22.1,10.8,4.7,4.0,0
True,75445,male,35+,47.1,11.5,22.1,10.8,4.7,4.0,0
False,2722,male,35+,27.3,10.0,47.6,8.5,4.3,2.3,1
False,2722,male,35+,27.3,10.0,47.6,8.5,4.3,2.3,0
False,2722,male,35+,27.3,10.0,47.6,8.5,4.3,2.3,0
False,2722,male,35+,27.3,10.0,47.6,8.5,4.3,2.3,0
False,176,male,25-,52.6,23.7,10.5,10.5,2.6,0.0,1
False,176,male,25-,52.6,23.7,10.5,10.5,2.6,0.0,0
False,176,male,25-,52.6,23.7,10.5,10.5,2.6,0.0,0
False,176,male,25-,52.6,23.7,10.5,10.5,2.6,0.0,0
False,2879,male,35+,44.1,5.8,30.1,12.4,4.0,3.7,1
False,2879,male,35+,44.1,5.8,30.1,12.4,4.0,3.7,0
False,2879,male,35+,44.1,5.8,30.1,12.4,4.0,3.7,0
False,5685,male,35+,56.1,2.4,2.1,33.4,5.8,0.3,1
False,5685,male,35+,56.1,2.4,2.1,33.4,5.8,0.3,0
False,1918,female,25-35,60.3,5.1,7.7,20.2,6.3,0.3,0
False,1918,female,25-35,60.3,5.1,7.7,20.2,6.3,0.3,0
False,1918,female,25-35,60.3,5.1,7.7,20.2,6.3,0.3,0
False,16,male,35+,30.7,12.4,29.5,24.6,2.8,0.0,1
False,16,male,35+,30.7,12.4,29.5,24.6,2.8,0.0,0
False,16,male,35+,30.7,12.4,29.5,24.6,2.8,0.0,0
False,16,male,35+,30.7,12.4,29.5,24.6,2.8,0.0,0
False,14,male,35+,34.0,6.0,29.1,25.5,4.3,1.1,0
False,14,male,35+,34.0,6.0,29.1,25.5,4.3,1.1,0
False,14,male,35+,34.0,6.0,29.1,25.5,4.3,1.1,0
False,19727,male,25-35,66.0,4.5,5.2,20.2,3.6,0.5,1
False,19727,male,25-35,66.0,4.5,5.2,20.2,3.6,0.5,0
False,19727,male,25-35,66.0,4.5,5.2,20.2,3.6,0.5,0
False,310,male,35+,99.5,0.0,0.5,0.0,0.0,0.0,1
False,310,male,35+,99.5,0.0,0.5,0.0,0.0,0.0,0
False,109,male,35+,73.2,1.0,0.1,1.9,23.8,0.0,0
False,109,male,35+,73.2,1.0,0.1,1.9,23.8,0.0,0
False,109,male,35+,73.2,1.0,0.1,1.9,23.8,0.0,0
False,109,male,35+,73.2,1.0,0.1,1.9,23.8,0.0,0
True,3703819,male,35+,33.3,0.0,33.3,0.0,33.3,0.0,0
True,3703819,male,35+,33.3,0.0,33.3,0.0,33.3,0.0,0
True,3703819,male,35+,33.3,0.0,33.3,0.0,33.3,0.0,0
True,369423,male,35+,32.6,6.2,49.5,6.9,1.3,3.5,0
True,369423,male,35+,32.6,6.2,49.5,6.9,1.3,3.5,0
True,369423,male,35+,32.6,6.2,49.5,6.9,1.3,3.5,0
False,2352,male,35+,43.3,4.3,14.9,26.4,8.6,2.5,0
False,2352,male,35+,43.3,4.3,14.9,26.4,8.6,2.5,0
False,2352,male,35+,43.3,4.3,14.9,26.4,8.6,2.5,0
False,970,male,35+,41.6,6.9,38.9,3.4,6.5,2.7,1
False,970,male,35+,41.6,6.9,38.9,3.4,6.5,2.7,0
False,970,male,35+,41.6,6.9,38.9,3.4,6.5,2.7,0
False,667,male,35+,36.4,2.9,42.6,11.6,2.9,3.7,1
False,667,male,35+,36.4,2.9,42.6,11.6,2.9,3.7,0
False,459,male,35+,40.4,3.3,16.1,36.5,2.8,0.9,1
False,459,male,35+,40.4,3.3,16.1,36.5,2.8,0.9,0
False,459,male,35+,40.4,3.3,16.1,36.5,2.8,0.9,0
False,5,male,35+,64.6,2.9,15.5,10.7,4.7,1.6,1
False,5,male,35+,64.6,2.9,15.5,10.7,4.7,1.6,0
False,5,male,35+,64.6,2.9,15.5,10.7,4.7,1.6,0
False,985755,male,35+,99.5,0.3,0.1,0.1,0.0,0.1,0
False,985755,male,35+,99.5,0.3,0.1,0.1,0.0,0.1,0
